species,accession,taxid
Mus musculus,GCA_000002165.1,10090
Rattus norvegicus,GCA_000002265.1,10116
Cricetulus griseus,GCA_000223135.1,10029
Neotoma lepida,GCA_001675575.1,56216
Patagioenas fasciata monilis,GCA_002029285.1,372321
Limosa lapponica baueri,GCA_002844005.1,161683
Coryphaenoides rupestris,GCA_002895965.2,163118
Blattella germanica,GCA_003018175.1,6973
Chiloscyllium punctatum,GCA_003427335.1,137246
Scyliorhinus torazame,GCA_003427355.1,75743
Chloebia gouldiae,GCA_003676055.1,44316
Hirundo rustica rustica,GCA_003692655.1,43150
Labeo rohita,GCA_004120215.1,84645
Eumeta japonica,GCA_005406025.1,151549
Liparis tanakae,GCA_006348945.1,230148
Zosterops borbonicus,GCA_007252995.1,364589
Portunus trituberculatus,GCA_008373055.1,210409
Muntiacus muntjak,GCA_008782695.1,9888
Muntiacus reevesi,GCA_008787405.2,9886
Naja naja,GCA_009733165.1,35670
Aphis craccivora,GCA_009835225.1,307492
Ignelater luminosus,GCA_011009095.1,2038154
Mytilus coruscus,GCA_011752425.2,42192
Araneus ventricosus,GCA_013235015.1,182803
Cryptolaemus montrouzieri,GCA_013387265.2,559131
Rhynchophorus ferrugineus,GCA_014462685.1,354439
Spodoptera frugiperda,GCA_015832365.1,7108
Gonioctena quinquepunctata,GCA_018342105.1,63699
Homalodisca vitripennis,GCA_019364655.1,197043
Plakobranchus ocellatus,GCA_019648995.1,259542
Elysia marginata,GCA_019649035.1,1093978
Trichonephila clavipes,GCA_019973935.1,2585209
Trichonephila inaurata madagascariensis,GCA_019973955.1,2747482
Trichonephila clavata,GCA_019973975.1,2740835
Nephila pilipes,GCA_019974015.1,299642
Dreissena polymorpha,GCA_020536995.1,45954
Caerostris darwini,GCA_021605075.1,1538125
Caerostris extrusa,GCA_021605095.1,172846
Homo sapiens,GCA_022833125.2,9606
Idotea baltica,GCA_023373965.1,82763
Chaenocephalus aceratus,GCA_023974075.1,36190
Prochilodus magdalenae,GCA_024036415.1,148989
Diaphorina citri,GCA_024506315.3,121845
Branchiostoma belcheri,GCA_025402995.1,7741
Periplaneta americana,GCA_025594305.2,6978
Dissostichus eleginoides,GCA_025770515.1,100907
Pleurodeles waltl,GCA_026652325.1,8319
Muraenolepis orangiensis,GCA_027704905.1,630683
Zophobas morio,GCA_027724725.1,2755281
Frankliniella fusca,GCA_029379305.1,407009
Dallia pectoralis,GCA_029465975.1,75939
Aldrovandia affinis,GCA_029706075.1,143900
Synaphobranchus kaupii,GCA_029718625.1,118154
Eretmocerus hayati,GCA_029851415.1,131215
Dryococelus australis,GCA_029891345.1,614101
Aromia moschata,GCA_029963805.1,1265417
Diploptera punctata,GCA_030220185.1,6984
Rhipicephalus microplus,GCA_030522445.2,6941
Rhipicephalus appendiculatus,GCA_030522465.2,34631
Henosepilachna vigintioctopunctata,GCA_030704895.1,420089
Saguinus oedipus,GCA_031835075.1,9490
Hemibagrus guttatus,GCA_033459395.1,175788
Hemibagrus guttatus,GCA_033459405.1,175788
Elysia crispata,GCA_033675545.1,231223
Petrolisthes cinctipes,GCA_033782935.1,88211
Petrolisthes manimaculis,GCA_034508575.1,1843537
Mycteria americana,GCA_035582795.1,33587
Cirrhinus mrigala,GCA_036247105.2,683832
Ascaphus truei,GCA_036426205.1,8439
Coregonus suidteri,GCA_036851935.1,861788
Myodes glareolus,GCA_038090675.1,447135
Mugilogobius chulae,GCA_038363315.1,88201
Ameca splendens,GCA_040091285.1,208324
Ilyodon furcidens,GCA_040091305.1,33524
Popillia japonica,GCA_040143775.1,7064
Plecturocebus cupreus,GCA_040437455.1,202457
Cirrhinus molitorella,GCA_040955965.1,172907
Leuciscus waleckii,GCA_041200155.1,155063
Sigmodon hispidus,GCA_041721565.1,42415
Vespula maculifrons,GCA_043792635.1,7453
Grus japonensis,GCA_045298695.1,30415
Uroleucon formosanum,GCA_046862315.1,796250
