species,accession,taxid
Trifolium medium,GCA_003490085.1,97028
Helianthus annuus,GCA_026651695.1,4232
Rhynchospora pubera,GCA_028095005.1,906938
Haematococcus lacustris,GCA_011766145.1,44745
Haematococcus lacustris,GCA_030144725.1,44745
Haematococcus lacustris,GCA_050941845.1,44745
Micromonas commoda,GCA_000090985.2,296587
Micromonas pusilla CCMP1545,GCA_000151265.1,564608
Micromonas commoda,GCF_000090985.2,296587
Micromonas pusilla CCMP1545,GCF_000151265.4,564608
Riccia fluitans,GCA_043381455.1,41844
Riccia sorocarpa,GCA_046195345.1,122646
Sphagnum balticum,GCA_965153435.1,128184
